"English Name","FCI Breed Group","AKC Breed Group","Czech Name","German Name","Hungarian Name","Japanese Name","Polish Name","Turkish Name"
"Danish-Swedish Farmdog","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Dánsko-švédský farmářský pes","Dänisch-Schwedischer Farmhund","Dán-svéd őrkutya","デニッシュ・スウィディッシュ・ファームドッグ","Duńsko-szwedzki pies pasterski","Danimarka-İsveç Çiftlik Köpeği"
"Deutsche Bracke",NA,NA,"Německý brakýř","Deutsche Bracke","Német Bracke","ジャーマン・ハウンド","Deutsche Bracke","Alman Bracke"
"Deutscher Wachtelhund","Group 8: Retrievers - Flushing Dogs - Water Dogs","Foundation Stock Services","Německý křepelák","Deutscher Wachtelhund","Német fürjészeb","ジャーマン・スパニエル","Niemiecki pies pasterski","Alman Bekçi Köpeği"
"Dingo",NA,NA,"Dingo","Dingo","Dingó","ディンゴ","Dingo","Dingo"
"Doberman Pinscher","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Dobrman","Dobermann","Dobermann","ドーベルマン・ピンシャー","Doberman","Doberman Pinscher"
"Dogo Argentino (Argentine Dogo)","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Argentinská doga","Dogo Argentino (Argentinischer Dogo)","Dogo Argentino (argentin dogo)","ドゴ・アルヘンティーノ (アルゼンチン・ドゴ)","Dog argentyński","Dogo Argentino (Arjantin Dogosu)"
"Dogue de Bordeaux","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Bordeauxká doga","Bordeauxdogge","Bordeauxi dog","ボルドー・ドッグ","Dogue de Bordeaux","Bordeaux Köpeği"
"Drentsche Patrijschond","Group 7: Pointing Dogs","Foundation Stock Services","Drentsche Patrijschond","Drentsche Patrijschond","Drentsche Patrijschond","ドレンチェ・パトリショホンド","Drentsche Patrijschond","Drentsche Patrijschond"
"Drever","Group 6: Scent hounds and related breeds","Foundation Stock Services","Drever","Drever","Drever","ドレバー","Drever","Sürücü"
"Dunker",NA,NA,"Dunker","Dunker","Dunker","ダンカー","Dunker","Daldırma"
"Dutch Shepherd","Group 1: Sheepdogs and Cattledogs","Miscellaneous Class","Holandský ovčák","Holländischer Schäferhund","Holland juhászkutya","ダッチシェパード","Owczarek holenderski","Hollanda Çoban Köpeği"
"Dutch Smoushond","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Holandský Smoushond","Niederländischer Smoushond","Holland smoushond","ダッチ・スムースホンド","Holenderski Smoushond","Hollanda Smoushond"
"East Siberian Laika","Group 5: Spitz and primitive types",NA,"Východosibiřská lajka","Ostsibirischer Laika","Kelet-szibériai lajka","イーストシベリアンライカ","Łajka wschodniosyberyjska","Doğu Sibirya Laikası"
"English Cocker Spaniel","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Anglický kokršpaněl","Englischer Cocker Spaniel","Angol cocker spániel","イングリッシュ・コッカー・スパニエル","Angielski Cocker Spaniel","İngiliz Cocker Spaniel"
"English Foxhound","Group 6: Scent hounds and related breeds","Hound Group","Foxhound","Englischer Foxhound","Angol rókakopó","イングリッシュ・フォックスハウンド","Angielski Foxhound","İngiliz Tilki Tazısı"
"English Setter","Group 7: Pointing Dogs","Sporting Group","Anglický setr","Englischer Setter","Angol szetter","イングリッシュ・セッター","Seter angielski","İngiliz Setter"
"English Shepherd",NA,NA,"Anglický ovčák","Englischer Schäferhund","Angol juhászkutya","イングリッシュ・シェパード","Owczarek angielski","İngiliz Çoban Köpeği"
"English Springer Spaniel","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Anglický špringr španěl","Englischer Springer Spaniel","Angol springer spániel","イングリッシュ・スプリンガー・スパニエル","Angielski springer spaniel","İngiliz Springer Spaniel"
"English Toy Spaniel",NA,"Toy Group","Anglický toy španěl","Englischer Toy Spaniel","Angol Toy Spániel","イングリッシュ・トイ・スパニエル","Angielski spaniel miniaturowy","İngiliz Oyuncak Spaniel"
"English Toy Terrier (Black and Tan)","Group 3: Terriers",NA,"Anglický toy terier","Englischer Toy Terrier (Schwarz und Braun)","Angol Toy Terrier (fekete-barna)","イングリッシュ・トイ・テリア（ブラック・アンド・タン）","Angielski toy terrier (czarno-podpalany)","İngiliz Oyuncak Teriyeri (Siyah ve Kahverengi)"
"Entlebucher Mountain Dog","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Herding Group","Entlebuchský salašnický pes","Entlebucher Sennenhund","Entlebuchi havasi kutya","エントレブッチャー・マウンテン・ドッグ","Pies pasterski Entlebucher","Entlebucher Dağ Köpeği"
"Epagneul Bleu de Picardie","Group 7: Pointing Dogs",NA,"Modrý pikardský ohař dlouhosrstý","Epagneul Bleu de Picardie","Picardie kék epángneul","エパニュル・ブルー・ド・ピカルディ","Epagneul Bleu de Picardie","Epagneul Bleu de Picardie"
"Epagneul Picard","Group 7: Pointing Dogs",NA,"Pikardský ohař dlouhosrstý","Epagneul Picard","Pikárdiai spániel","エパニュル・ピカード","Epagneul Picard","Epagneul Picard"
"Epagneul Pont-Audemer","Group 7: Pointing Dogs",NA,"Dlouhosrstý ohař z Pont-Audemer","Epagneul Pont-Audemer","Pont-Audemer-i spániel","エパニュル ポントードメール","Epagneul Pont-Audemer","Epagneul Pont-Audemer"
"Estonian Hound",NA,NA,"Estonský honič","Estnischer Laufhund","Észt kopó","エストニアン・ハウンド","Estoński pies gończy","Estonya Tazısı"
"Estrela Mountain Dog","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Foundation Stock Services","Estrelský pastevecký pes","Estrela-Berghund","Estrela hegyi kutya","エストレラ・マウンテン・ドッグ","Pies górski Estrela","Estrela Dağ Köpeği"
"Eurasier",NA,"Foundation Stock Services","Eurasier","Eurasier","Eurázsiai","ユーラシア","Eurasier","Avrasyacı"
"Field Spaniel","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Field španěl","Field Spaniel","Field spániel","フィールドスパニエル","Field Spaniel","Tarla Spaniel&#39;i"
"Fila Brasileiro","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Brazilská fila","Fila Brasileiro","Fila Brasileiro","フィラ・ブラジレイロ","Fila Brasileiro","Fila Brasileiro"
"Finnish Hound","Group 6: Scent hounds and related breeds",NA,"Finský honič","Finnischer Laufhund","finn kopó","フィニッシュ・ハウンド","Fiński pies gończy","Fin Tazısı"
"Finnish Lapphund","Group 5: Spitz and primitive types","Herding Group","Finský laponský pes","Finnischer Lapphund","Finn lapphund","フィニッシュ・ラップフンド","Fiński Lapphund","Fin Lapphund"
"Finnish Spitz","Group 5: Spitz and primitive types","Non-Sporting Group","Finský špic","Finnischer Spitz","Finn spicc","フィニッシュ・スピッツ","Fiński szpic","Fin Spitz"
"Flat-Coated Retriever","Group 8: Retrievers - Flushing Dogs - Water Dogs",NA,"Flat-Coated Retriever","Flat Coated Retriever","Simaszőrű retriver","フラットコーテッド・レトリーバー","Flat-Coated Retriever","Düz Tüylü Retriever"
"French Bulldog","Group 9: Companion and Toy Dogs","Non-Sporting Group","Francouzský buldoček","Französische Bulldogge","Francia bulldog","フレンチブルドッグ","Buldog francuski","Fransız Bulldog"
"French Spaniel",NA,"Foundation Stock Services","Francouzský španěl","Französischer Spaniel","Francia spániel","フレンチスパニエル","Spaniel francuski","Fransız Spaniel"
"Frisian Water Dog","Group 8: Retrievers - Flushing Dogs - Water Dogs",NA,"Fríský vodní pes","Friesischer Wasserhund","Fríz vízikutya","フリージアン・ウォーター・ドッグ","Fryzyjski pies dowodny","Friz Su Köpeği"
"German Longhaird Pointer","Group 7: Pointing Dogs","Foundation Stock Services","Německý ohař dlouhosrstý","Deutscher Langhaar-Vorstehhund","Német Hosszúszőrű Vizsla","ジャーマン・ロングヘアード・ポインター","Wyżeł niemiecki długowłosy","Alman Uzun Tüylü Pointer"
"German Pinscher","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Německý pinč","Deutscher Pinscher","Német pincser","ジャーマン・ピンシャー","Pinczer niemiecki","Alman Pinscher"
"German Rough-Haired Pointer",NA,NA,"Německý ohař ostnosrstý","Deutscher Rauhhaar-Vorstehhund","Német durvaszőrű vizsla","ジャーマン・ラフヘアード・ポインター","Wyżeł niemiecki szorstkowłosy","Alman Kaba Tüylü Pointer"
"German Shepherd Dog","Group 1: Sheepdogs and Cattledogs","Herding Group","Německý ovčák","Deutscher Schäferhund","Németjuhász","ジャーマン・シェパード・ドッグ","Owczarek niemiecki","Alman Çoban Köpeği"
"German Shorthaired Pointer","Group 7: Pointing Dogs","Sporting Group","Německý ohař krátkosrstý","Deutsch Kurzhaar","Német rövidszőrű vizsla","ジャーマン・ショートヘアード・ポインター","Wyżeł niemiecki krótkowłosy","Alman Kısa Tüylü Pointer"
"German Spitz","Group 5: Spitz and primitive types","Miscellaneous Class","Německý špic","Deutscher Spitz","Német Spitz","ジャーマン・スピッツ","Szpic niemiecki","Alman Spitz"
"German Wirehaired Pointer","Group 7: Pointing Dogs","Sporting Group","Německý ohař drátosrstý","Deutsch Drahthaar","Német drótszőrű vizsla","ジャーマン・ワイヤーヘアード・ポインター","Wyżeł niemiecki szorstkowłosy","Alman Tel Tüylü Pointer"
"Giant Schnauzer","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Knírač velký","Riesenschnauzer","Óriás schnauzer","ジャイアントシュナウザー","Sznaucer olbrzymi","Dev Schnauzer"
"Glen of Imaal Terrier","Group 3: Terriers","Terrier Group","Glen of Imaal Terrier","Glen of Imaal Terrier","Glen of Imaal terrier","グレン・オブ・イマール・テリア","Glen of Imaal Terrier","Glen of Imaal Terrier"
"Golden Retriever","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Zlatý retriever","Golden Retriever","Arany-retriever","ゴールデンレトリバー","Golden retriever","Golden Retriever"
"Gordon Setter","Group 7: Pointing Dogs","Sporting Group","Gordonsetr","Gordon Setter","Gordon szetter","ゴードン・セッター","Gordon Setter","Gordon Setter"
"Gończy polski","Group 6: Scent hounds and related breeds",NA,"Polský honič","Polnische Gończy","Lengyel vadászkutya","ゴンツィー・ポルスキー","Gończy polski","Gończy polski"
"Grand Anglo-Français Blanc et Noir","Group 6: Scent hounds and related breeds",NA,"Velký franc.-anglický bílo-černý honič","Großer Anglo-Französischer Weiß-Schwarzer Laufhund","Fehér-fekete nagy angol-francia kopó","グラン アングロ フランセ ブラン エ ノワール","Grand Anglo-Français Blanc et Noir","Büyük Anglo-Français Blanc ve Noir"
"Grand Anglo-Français Blanc et Orange","Group 6: Scent hounds and related breeds",NA,"Velký franc.-anglický bílo-oranžový honič","Großer Anglo-Französischer Weiß-Oranger Laufhund","Fehér-cser nagy angol-francia kopó","グラン アングロ フランセ ブラン エ オランジュ","Grand Anglo-Français Blanc et Orange","Grand Anglo-Français Blanc ve Orange"
"Grand Anglo-Français Tricolore","Group 6: Scent hounds and related breeds",NA,"Velký franc.-anglický trikolor. honič","Großer Anglo-Französischer Dreifarbiger Laufhund","Trikolor nagy angol-francia kopó","グラン アングロ フランセ トリコロール","Wielki Anglo-Français Tricolore","Büyük Anglo-Français Tricolore"
"Grand Basset Griffon Vendeen","Group 6: Scent hounds and related breeds",NA,"Velký hrubosrstý vendéenský basset","Grand Basset Griffon Vendéen","Nagy vendée-i griffon basset","グラン・バセ・グリフォン・ヴァンデーン","Grand Basset Griffon Vendeen","Grand Basset Griffon Vendeen"
"Grand Bleu de Gascogne",NA,NA,"Velký modrý gaskoňský honič","Grand Bleu de Gascogne","Nagy gascogne-i kék kopó","グラン・ブルー・ド・ガスコーニュ","Wielki Bleu de Gascogne","Gascogne Büyük Mavisi"
"Grand Gascon-Saintongeois","Group 6: Scent hounds and related breeds",NA,"Gaskoňsko-saintgeoiský honič","Grand Gascon-Saintongeois","Nagy gascon-saintongeois-i kopó","グランガスコン・サントンジョワ","Grand Gascon-Saintongeois","Büyük Gascon-Saintongeois"
"Grand Griffon Vendeen","Group 6: Scent hounds and related breeds",NA,"Velký vendéeský hrubosrstý honič","Grand Griffon Vendéen","Vendée-i nagy griffon","グラン・グリフォン・ヴァンデーン","Wielki Gryf Wandejski","Büyük Griffon Vendeen"
"Great Dane","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Německá doga","Deutsche Dogge","Nagy dán dog","グレート・デーン","Dog niemiecki","Danua"
"Great Pyrenees",NA,"Working Group","Pyrenejský horský pes","Pyrenäenberghund","Pireneusi hegyikutya","グレートピレニーズ","Pirenejski pies górski","Büyük Pireneler"
"Greater Swiss Mountain Dog","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Velký švýcarský salašnický pes","Großer Schweizer Sennenhund","Nagy svájci havasi kutya","グレーター・スイス・マウンテン・ドッグ","Duży szwajcarski pies pasterski","Büyük İsviçre Dağ Köpeği"
"Greenland Dog","Group 5: Spitz and primitive types",NA,"Grónsky pes","Grönlandhund","Grönlandi kutya","グリーンランド・ドッグ","Pies grenlandzki","Grönland Köpeği"
"Greyhound","Group 10: Sighthounds","Hound Group","Anglický chrt (Greyhound)","Greyhound","Agár","グレイハウンド","Greyhound","Tazı"
"Griffon Belge","Group 9: Companion and Toy Dogs",NA,"Belgický grifonek","Belgischer Griffon","Belga griffon","グリフォン・ベルジュ","Griffon Belge","Griffon Belge"
"Griffon Bleu de Gascogne","Group 6: Scent hounds and related breeds",NA,"Hrubosrstý modrý gaskoňský honič","Blauer Griffon de Gascogne","Gascogne-i kék griffon","グリフォン・ブルー・ド・ガスコーニュ","Griffon Bleu de Gascogne","Griffon Bleu de Gascogne"
"Griffon Fauve de Bretagne","Group 6: Scent hounds and related breeds",NA,"Plavý bretaňský honič","Griffon Fauve de Bretagne","Bretagne-i vörös griffon","グリフォン・フォーヴ・ド・ブルターニュ","Griffon Fauve de Bretagne","Bretagne&#39;nin Griffon Fauve&#39;si"
"Griffon Nivernais","Group 6: Scent hounds and related breeds",NA,"Nivernaisský hrubosrstý honič","Griffon Nivernais","Nivernais-i griffon","グリフォン・ニヴェルネ","Griffon Nivernais","Griffon Nivernais"
"Haldenstovare","Group 6: Scent hounds and related breeds",NA,"Haldenův honič","Haldenstøvåger","Halden kopó","ハルデン・ハウンド","Haldenstovare","Haldenstovare"
"Hamiltonstovare","Group 6: Scent hounds and related breeds","Foundation Stock Services","Hamiltonův honič","Hamiltonstøvare","Hamilton-kopó","ハミルトン・シュトーヴァレ","Hamiltonstovare","Hamiltonstovare"
"Hanoverian Hound","Group 6: Scent hounds and related breeds","Foundation Stock Services","Hannoverský barvář","Hannoveraner Bracke","Hannoveri kopó","ハノーバーハウンド","Chart hanowerski","Hannover Tazısı"
"Harrier","Group 6: Scent hounds and related breeds","Hound Group","Harrier","Harrier","Harrier","ハリアー","Harrier","Harrier"
"Havanese","Group 9: Companion and Toy Dogs","Toy Group","Havanský psík","Havaneser","Havannai pincs (Bichon havanese)","ハバニーズ","Hawańczyk","Havanese"
"Hellenic Hound","Group 6: Scent hounds and related breeds",NA,"Řecký honič","Griechischer Laufhund","Görög kopó","ヘレニックハウンド","Grecki pies gończy","Yunan Tazısı"
"Hokkaido","Group 5: Spitz and primitive types","Foundation Stock Services","Hokkaido","Hokkaido","Hokkaido","北海道犬","Hokkaido","Hokkaido"
"Hovawart","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Foundation Stock Services","Hovawart","Hovawart","Hovawart","ホファヴァルト","Hovawart","Hovawart"
"Hungarian Greyhound","Group 10: Sighthounds",NA,"Maďarský chrt","Ungarischer Windhund","Magyar agár","ハンガリアン・グレイハウンド","Chart węgierski","Macar Tazısı"
"Hygen Hound","Group 6: Scent hounds and related breeds",NA,"Hygenův honič","Hygen Hound","Hygeni vadászkutya","ハイゲンハウンド","Hygen Hound","Hijyen Tazısı"
"Ibizan Hound",NA,"Hound Group","Ibizský podenco","Podenco Ibicenco","Ibizan Hound","イビザンハウンド","Ibiza Hound","İbiza Tazısı"
"Icelandic Sheepdog","Group 5: Spitz and primitive types","Herding Group","Islandský ovčácký pes","Isländischer Schäferhund","Izlandi juhászkutya","アイスランド・シープドッグ","Owczarek islandzki","İzlanda Çoban Köpeği"
"Irish Red and White Setter","Group 7: Pointing Dogs","Sporting Group","Irský červenobílý setr","Irischer rot-weißer Setter","Vörös-fehér ír szetter","アイリッシュ・レッド・アンド・ホワイト・セッター","Seter irlandzki czerwono-biały","İrlanda Kırmızı ve Beyaz Setter"
"Irish Setter","Group 7: Pointing Dogs","Sporting Group","Irský setr","Irish Setter","Ír szetter","アイリッシュ・セッター","Seter irlandzki","İrlanda Setter"
"Irish Terrier","Group 3: Terriers","Terrier Group","Irský terier","Irischer Terrier","Ír terrier","アイリッシュ・テリア","Terier irlandzki","İrlanda Teriyeri"
"Irish Water Spaniel","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Irský vodní španěl","Irischer Wasserspaniel","Ír vízispániel","アイリッシュ・ウォーター・スパニエル","Irlandzki spaniel wodny","İrlanda Su Spanieli"
"Irish Wolfhound","Group 10: Sighthounds","Hound Group","Irský vlkodav","Irischer Wolfshund","Ír farkaskutya","アイリッシュ・ウルフハウンド","Wilczarz irlandzki","İrlanda Kurt Köpeği"
"Istrian Coarse-Haired Hound","Group 6: Scent hounds and related breeds",NA,"Istrijský hrubosrstý honič","Istrischer Rauhhaarlaufhund","Isztriai durva szőrű kopó","イストリアン・コースヘアード・ハウンド","Istryjski szorstkowłosy pies gończy","İstriya Kaba Tüylü Tazısı"
"Istrian Short-Haired Hound","Group 6: Scent hounds and related breeds",NA,"Istrijský krátkosrstý honič","Istrischer Kurzhaarhund","Isztriai rövidszőrű kopó","イストリアン・ショートヘアード・ハウンド","Istryjski krótkowłosy pies gończy","İstriya Kısa Tüylü Tazısı"
"Italian Greyhound",NA,"Toy Group","Italský chrtík","Italienisches Windspiel","Olasz agár","イタリアン・グレイハウンド","Charcik włoski","İtalyan Tazısı"
"Italian Hound, Coarsehaired",NA,NA,"Italský drsnosrstý honič","Italienischer Laufhund, Rauhaar","Olasz kopó (drótszőrű)","イタリアンハウンド、ワイヤーヘアー","Włoski gończy, szorstkowłosy","İtalyan Tazısı, Kaba Tüylü"
"Italian Hound, Shorthaired",NA,NA,"Italský krátkosrstý honič","Italienischer Laufhund, Kurzhaar","Olasz kopó (rövidszőrű)","イタリアンハウンド、ショートヘアード","Włoski gończy krótkowłosy","İtalyan Tazısı, Kısa Tüylü"
"Jack Russell Terrier","Group 3: Terriers",NA,"Jack Russell Teriér","Jack Russell Terrier","Jack Russell terrier","ジャックラッセルテリア","Jack Russell Terrier","Jack Russell Teriyeri"
"Jagdterrier",NA,"Foundation Stock Services","Jagdterrier","Jagdterrier","Jagdterrier","ヤクトテリア","Jagdterrier","Jagdterrier"
"Japanese Chin","Group 9: Companion and Toy Dogs","Toy Group","Japan-chin","Japan Chin","Japán spániel","チン","Japoński Chin","Japon Çini"
"Japanese Spitz","Group 5: Spitz and primitive types","Foundation Stock Services","Japonský špic","Japanischer Spitz","Japán spicc","日本スピッツ","Szpic japoński","Japon Spitz"
"Japanese Terrier",NA,"Foundation Stock Services","Japonský terier","Japanischer Terrier","Japán terrier","日本テリア","Japoński terier","Japon Teriyeri"
"Jindo","Group 5: Spitz and primitive types","Foundation Stock Services","Jindo","Jindo","Jindo","珍島犬","Jindo","Jindo"
"Kai Ken","Group 5: Spitz and primitive types","Miscellaneous Class","Kai","Kai Ken","Kai Ken","甲斐犬","Kai Kena","Kai Ken"
"Kangal Dog","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Kangal","Kangal-Hund","Kangal kutya","カンガルドッグ","Kangal Dog","Kangal Köpeği"
"Karelian Bear Dog","Group 5: Spitz and primitive types","Foundation Stock Services","Karelský medvědí pes","Karelischer Bärenhund","Karéliai medvekutya","カレリアン・ベア・ドッグ","Karelski pies na niedźwiedzie","Karelya Ayı Köpeği"
"Keeshond","Group 5: Spitz and primitive types","Non-Sporting Group","Keeshond","Wolfsspitz","Keeshond","キースホンド","Szpic wilczy","Keeshond"
"Kerry Blue Terrier","Group 3: Terriers","Terrier Group","Kerry blue terier","Kerry Blue Terrier","Kerry kék terrier","ケリーブルーテリア","Kerry Blue Terrier","Kerry Mavi Teriyer"
"King Shepherd",NA,NA,"King Shepherd","King Shepherd","Királypásztor","キング・シェパード","Owczarek królewski","Kral Çoban"
"Kishu Ken","Group 5: Spitz and primitive types",NA,"Kishu Ken","Kishu Ken","Kishu Ken","紀州犬","Kishu Ken","Kishu Ken"
"Komondor","Group 1: Sheepdogs and Cattledogs","Working Group","Komondor","Komondor","Komondor","コモンドール","Komondor","Komondor"
"Kooikerhondji",NA,NA,"Kooikerhondji","Kooikerhondji","Kooikerhondji","コーイケルホンディエ","Kooikerhondji","Kooikerhondji"
"Krasky Ovcar","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Krašský ovčák","Krasky Ovcar","Krasky Ovcar","カルスト・シェパード","Krasky Ovcar","Krasky Ovcar"
"Kromfohrlander","Group 9: Companion and Toy Dogs","Foundation Stock Services","Kromfohrlander","Kromfohrländer","Kromfohrländer","クロムフォアランダー","Kromfohrlander","Kromfohrlander"
"Kuvasz","Group 1: Sheepdogs and Cattledogs","Working Group","Kuvasz","Kuvasz","Kuvasz","クヴァス","Kuvasz","Kuvasz"
"Kyi-Leo",NA,NA,"Kyi-Leo","Kyi-Leo","Kyi-Leo","キイ・レオ","Kyi-Leo","Kyi-Leo"
"Labrador Retriever","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Labradorský retriever","Labrador Retriever","Labrador retriever","ラブラドール・レトリバー","Labrador Retriever","Labrador Retriever"
"Lagotto Romagnolo","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Italský vodní pes (Lagotto Romagnolo)","Lagotto Romagnolo","Lagotto Romagnolo","ラゴット・ロマニョーロ","Lagotto Romagnolo","Lagotto Romagnolo"
"Lakeland Terrier","Group 3: Terriers","Terrier Group","Lakeland terier","Lakeland Terrier","Lakeland terrier","レイクランド・テリア","Lakeland Terrier","Lakeland Teriyeri"
"Lancashire Heeler",NA,"Herding Group","Lancashirský patař","Lancashire Heeler","Lancashire Heeler","ランカシャー・ヒーラー","Lancashire Heeler","Lancashire Heeler"
"Landseer","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Landseer","Landseer","Landseer","ランドシーア","Landseer","Landseer"
"Lapinporokoira",NA,NA,"Lapinporokoira","Lapinporokoira","Lapinporokoira","ラピンポロコイラ","Lapinporokoira","Lapinporokoira"
"Large Münsterländer","Group 7: Pointing Dogs","Foundation Stock Services","Velký münsterlandský ohař","Großer Münsterländer","Nagy münsterländi","ラージ・ミュンスターレンダー","Duży Münsterländer","Büyük Münsterländer"
"Leonberger","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Leonberger","Leonberger","Leonbergi","レオンベルガー","Leonberger","Leonberger"
"Lhasa Apso","Group 9: Companion and Toy Dogs","Non-Sporting Group","Lhasa Apso","Lhasa Apso","Lhasa Apso","ラサ・アプソ","Lhasa Apso","Lhasa Apso"
"Löwchen",NA,"Non-Sporting Group","Lvíček","Löwchen","Kis oroszlánkutya","ローシェン","Lwi piesek","Löwchen"
"Majorca Mastiff","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Malorská doga","Mallorca-Dogge (Ca de Bou)","Mallorcai masztiff","マヨルカ・マスティフ","Mastif majorkański","Mallorca Mastiff"
"Maltese","Group 9: Companion and Toy Dogs","Toy Group","Maltézský psík","Malteser","máltai","マルチーズ","Maltańczyk","Malta Köpeği (Maltiz)"
"Manchester Terrier (Standard)","Group 3: Terriers",NA,"Manchester terier (standard)","Manchester Terrier (Standard)","Manchester terrier (standard)","マンチェスター・テリア（スタンダード）","Manchester Terrier (Standardowy)","Manchester Terrier (Standart)"
"Manchester Terrier (Toy)","Group 3: Terriers","Toy Group","Manchester terier (toy)","Manchester Terrier (Spielzeug)","Manchester terrier (játék)","マンチェスター・テリア（トイ）","Manchester Terrier (toy)","Manchester Terrier (Oyuncak)"
"Maremma Sheepdog","Group 1: Sheepdogs and Cattledogs",NA,"Maremmansko-abruzský pastevecký pes","Maremma-Schäferhund","Maremma juhászkutya","マレンマ・シープドッグ","Owczarek Maremma","Maremma Çoban Köpeği"
"Mastiff","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Anglický mastif","Mastiff","Mészároskutya","マスティフ","Dog angielski","Mastiff"
"Mi-Ki",NA,NA,"Mi-Ki","Mi-Ki","Mi-Ki","ミキ","Mi-Ki","Mi-Ki"
"Mini-Pei",NA,NA,"Mini-Pei","Mini-Pei","Mini-Pei","ミニペイ","Mini-Pei","Mini-Pei"
"Miniature American Shepherd","Group 1: Sheepdogs and Cattledogs","Herding Group","Miniaturní americký ovčák","Miniatur-Amerikanischer Schäferhund","Miniatűr amerikai juhászkutya","ミニチュアアメリカンシェパード","Miniaturowy owczarek amerykański","Minyatür Amerikan Çoban Köpeği"
"Miniature Australian Shepherd",NA,NA,"Miniaturní australský ovčák","Miniatur-Australian Shepherd","Miniatűr ausztrál juhászkutya","ミニチュアオーストラリアンシェパード","Miniaturowy owczarek australijski","Minyatür Avustralya Çoban Köpeği"
"Miniature Bull Terrier",NA,"Terrier Group","Miniaturná bulteriér","Miniatur-Bullterrier","Miniatűr bullterrier","ミニチュア・ブル・テリア","Miniaturowy Bull Terrier","Minyatür Bull Terrier"
"Miniature Pinscher","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Toy Group","Trpasličí pinč","Zwergpinscher","Törpe Pinscher","ミニチュア・ピンシャー","Pinczer miniaturowy","Minyatür Pinscher"
"Miniature Schnauzer","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Terrier Group","Knírač malý","Zwergschnauzer","Törpe schnauzer","ミニチュアシュナウザー","Sznaucer miniaturowy","Minyatür Schnauzer"
"Mountain Cur",NA,"Foundation Stock Services","Mountain Cur","Berg Cur","Hegyi Cur","マウンテンカー","Górski Cur","Dağ Kursu"
"Mudi","Group 1: Sheepdogs and Cattledogs","Herding Group","Mudi","Mudi","Mudi","ムディ","Mudi","Mudi"
"Neapolitan Mastiff","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Neapolský mastin","Neapolitanischer Mastiff","Nápolyi masztiff","ナポリタン・マスティフ","Mastif neapolitański","Napoliten Mastiff"
"Nederlandse Kooikerhondje","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Kooikerhondje","Niederländischer Kooikerhondje","Holland Kutyaszőrű Kutya","オランダ・コーイケルホンディエ","Nederlandse Kooikerhondje","Nederlandse Kooikerhondje"
"New Guinea Singing Dog",NA,NA,"New Guinea Singing Dog","Neuguinea-Dingo","Új-guineai éneklő kutya","ニューギニア・シンギング・ドッグ","Śpiewający pies z Nowej Gwinei","Yeni Gine Şarkı Söyleyen Köpeği"
"Newfoundland","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Working Group","Novofundlandský pes","Neufundländer","újfundlandi","ニューファンドランド","Nowofunland","Newfoundland"
